"","sampledate","Source","Pext_kgday","Yr"
"1103",2018-08-15,"Pext_kgday_noother",26.4852838803451,"2018"
"1104",2018-08-16,"Pext_kgday_noother",75.5317710977206,"2018"
"1105",2018-08-17,"Pext_kgday_noother",630.434745688817,"2018"
"1106",2018-08-18,"Pext_kgday_noother",165.511731646662,"2018"
"1107",2018-08-19,"Pext_kgday_noother",65.8179581041765,"2018"
"1108",2018-08-20,"Pext_kgday_noother",1845.61995688909,"2018"
"1109",2018-08-21,"Pext_kgday_noother",8791.61807677887,"2018"
"1110",2018-08-22,"Pext_kgday_noother",599.865282508846,"2018"
"1111",2018-08-23,"Pext_kgday_noother",264.955749085789,"2018"
"1112",2018-08-24,"Pext_kgday_noother",178.846856962129,"2018"
"1113",2018-08-25,"Pext_kgday_noother",144.700316641752,"2018"
"1114",2018-08-26,"Pext_kgday_noother",151.911381101322,"2018"
"1115",2018-08-27,"Pext_kgday_noother",165.855512364081,"2018"
"1116",2018-08-28,"Pext_kgday_noother",155.758195005627,"2018"
"1117",2018-08-29,"Pext_kgday_noother",391.859254918654,"2018"
"1118",2018-08-30,"Pext_kgday_noother",149.416143696088,"2018"
"1119",2018-08-31,"Pext_kgday_noother",87.3850308251782,"2018"
"1120",2018-09-01,"Pext_kgday_noother",77.7850585455747,"2018"
"1121",2018-09-02,"Pext_kgday_noother",245.709843033952,"2018"
"1122",2018-09-03,"Pext_kgday_noother",256.033331850334,"2018"
"1123",2018-09-04,"Pext_kgday_noother",158.647315822099,"2018"
"1124",2018-09-05,"Pext_kgday_noother",213.061017128471,"2018"
"1125",2018-09-06,"Pext_kgday_noother",237.791637654253,"2018"
"1126",2018-09-07,"Pext_kgday_noother",115.538219949713,"2018"
"1127",2018-09-08,"Pext_kgday_noother",90.4696007905648,"2018"
"1128",2018-09-09,"Pext_kgday_noother",78.6637773646836,"2018"
"1129",2018-09-10,"Pext_kgday_noother",65.4779790257611,"2018"
"1130",2018-09-11,"Pext_kgday_noother",53.59520510224,"2018"
"1131",2018-09-12,"Pext_kgday_noother",49.8827241224765,"2018"
"1132",2018-09-13,"Pext_kgday_noother",48.2347249392268,"2018"
"1133",2018-09-14,"Pext_kgday_noother",43.8521912755817,"2018"
"1134",2018-09-15,"Pext_kgday_noother",41.5189574231136,"2018"
"1135",2013-07-15,"Pother_kgday",24.4000757786102,"2013"
"1136",2013-07-16,"Pother_kgday",23.8847050431261,"2013"
"1137",2013-07-17,"Pother_kgday",25.2653096966806,"2013"
"1138",2013-07-18,"Pother_kgday",19.1729154705643,"2013"
"1139",2013-07-19,"Pother_kgday",27.1172425858447,"2013"
