"","Yr","daynum","epi_totP_mgL"
"106",2014,244,0.0207692307692308
"107",2014,245,0.02
"108",2014,246,0.0212068965517241
"109",2014,247,0.0224137931034483
"110",2014,248,0.0236206896551724
"111",2014,249,0.0248275862068966
"112",2014,250,0.0260344827586207
"113",2014,251,0.0272413793103448
"114",2014,252,0.028448275862069
"115",2015,196,0.0394444444444445
"116",2015,197,0.0395555555555556
"117",2015,198,0.0396666666666667
"118",2015,199,0.0397777777777778
"119",2015,200,0.0398888888888889
"120",2015,201,0.04
"121",2015,202,0.0392142857142857
"122",2015,203,0.0384285714285714
"123",2015,204,0.0376428571428571
"124",2015,205,0.0368571428571429
"125",2015,206,0.0360714285714286
"126",2015,207,0.0352857142857143
"127",2015,208,0.0345
"128",2015,209,0.0337142857142857
"129",2015,210,0.0329285714285714
"130",2015,211,0.0321428571428571
"131",2015,212,0.0313571428571429
"132",2015,213,0.0305714285714286
"133",2015,214,0.0297857142857143
"134",2015,215,0.029
"135",2015,216,0.0285666666666667
"136",2015,217,0.0281333333333333
"137",2015,218,0.0277
"138",2015,219,0.0272666666666667
"139",2015,220,0.0268333333333333
"140",2015,221,0.0264
"141",2015,222,0.0259666666666667
"142",2015,223,0.0255333333333333
"143",2015,224,0.0251
"144",2015,225,0.0246666666666667
"145",2015,226,0.0242333333333333
"146",2015,227,0.0238
"147",2015,228,0.0233666666666667
"148",2015,229,0.0229333333333333
"149",2015,230,0.0225
"150",2015,231,0.0227692307692308
"151",2015,232,0.0230384615384615
"152",2015,233,0.0233076923076923
"153",2015,234,0.0235769230769231
"154",2015,235,0.0238461538461538
"155",2015,236,0.0241153846153846
"156",2015,237,0.0243846153846154
"157",2015,238,0.0246538461538462
"158",2015,239,0.0249230769230769
"159",2015,240,0.0251923076923077
"160",2015,241,0.0254615384615385
"161",2015,242,0.0257307692307692
"162",2015,243,0.026
"163",2015,244,0.0264189189189189
"164",2015,245,0.0268378378378378
"165",2015,246,0.0272567567567568
"166",2015,247,0.0276756756756757
"167",2015,248,0.0280945945945946
"168",2015,249,0.0285135135135135
"169",2015,250,0.0289324324324324
"170",2015,251,0.0293513513513514
"171",2015,252,0.0297702702702703
"172",2016,196,0.0238846153846154
"173",2016,197,0.0235384615384615
"174",2016,198,0.0231923076923077
"175",2016,199,0.0228461538461538
"176",2016,200,0.0225
"177",2016,201,0.0224880952380952
"178",2016,202,0.0224761904761905
"179",2016,203,0.0224642857142857
"180",2016,204,0.0224523809523809
"181",2016,205,0.0224404761904762
"182",2016,206,0.0224285714285714
"183",2016,207,0.0224166666666666
"184",2016,208,0.0224047619047619
"185",2016,209,0.0223928571428571
"186",2016,210,0.0223809523809524
"187",2016,211,0.0223690476190476
"188",2016,212,0.0223571428571428
"189",2016,213,0.0223452380952381
"190",2016,214,0.0223333333333333
"191",2016,215,0.0220595238095238
"192",2016,216,0.0217857142857143
"193",2016,217,0.0215119047619047
"194",2016,218,0.0212380952380952
"195",2016,219,0.0209642857142857
"196",2016,220,0.0206904761904762
"197",2016,221,0.0204166666666666
"198",2016,222,0.0201428571428571
"199",2016,223,0.0198690476190476
"200",2016,224,0.0195952380952381
"201",2016,225,0.0193214285714286
"202",2016,226,0.019047619047619
"203",2016,227,0.0187738095238095
"204",2016,228,0.0185
"205",2016,229,0.0186
"206",2016,230,0.0187
"207",2016,231,0.0188
"208",2016,232,0.0189
"209",2016,233,0.019
"210",2016,234,0.0191
"211",2016,235,0.0192
"212",2016,236,0.0193
"213",2016,237,0.0194
"214",2016,238,0.0195
"215",2016,239,0.0196
"216",2016,240,0.0197
"217",2016,241,0.0198
"218",2016,242,0.0199
"219",2016,243,0.02
"220",2016,244,0.0204714285714286
"221",2016,245,0.0209428571428571
"222",2016,246,0.0214142857142857
"223",2016,247,0.0218857142857143
"224",2016,248,0.0223571428571429
"225",2016,249,0.0228285714285714
"226",2016,250,0.0233
