"","date","Depth_m","TotP_mgL","daynum"
"328",2014-06-09,15,0.1,160
"329",2014-06-09,16,0.1,160
"330",2014-06-09,17,0.11,160
"331",2014-06-09,18,0.12,160
"332",2014-06-09,19,0.14,160
"333",2014-06-09,20,0.16,160
"334",2014-06-09,21,0.165,160
"335",2014-06-09,22,0.17,160
"336",2014-06-09,23,NA,160
"337",2014-06-09,24,NA,160
"338",2014-06-09,25,NA,160
"339",2014-06-23,0,0.03,174
"340",2014-06-23,1,0.03,174
"341",2014-06-23,2,0.03,174
"342",2014-06-23,3,0.03,174
"343",2014-06-23,4,0.03,174
"344",2014-06-23,5,NA,174
"345",2014-06-23,6,NA,174
"346",2014-06-23,7,NA,174
"347",2014-06-23,8,NA,174
"348",2014-06-23,9,NA,174
"349",2014-06-23,10,NA,174
"350",2014-06-23,11,NA,174
"351",2014-06-23,12,NA,174
"352",2014-06-23,13,NA,174
"353",2014-06-23,14,NA,174
"354",2014-06-23,15,NA,174
"355",2014-06-23,16,NA,174
"356",2014-06-23,17,NA,174
"357",2014-06-23,18,NA,174
"358",2014-06-23,19,NA,174
"359",2014-06-23,20,NA,174
"360",2014-06-23,21,NA,174
"361",2014-06-23,22,NA,174
"362",2014-06-23,23,NA,174
"363",2014-06-23,24,NA,174
"364",2014-06-23,25,NA,174
"365",2014-07-07,0,0.05,188
"366",2014-07-07,1,0.0475,188
"367",2014-07-07,2,0.045,188
"368",2014-07-07,3,0.0425,188
"369",2014-07-07,4,0.04,188
"370",2014-07-07,5,0.0375,188
"371",2014-07-07,6,0.035,188
"372",2014-07-07,7,0.0325,188
"373",2014-07-07,8,0.03,188
"374",2014-07-07,9,0.055,188
"375",2014-07-07,10,0.08,188
"376",2014-07-07,11,0.1,188
"377",2014-07-07,12,0.12,188
"378",2014-07-07,13,0.14,188
"379",2014-07-07,14,0.16,188
"380",2014-07-07,15,0.19,188
"381",2014-07-07,16,0.22,188
"382",2014-07-07,17,0.25,188
"383",2014-07-07,18,0.28,188
"384",2014-07-07,19,0.29,188
"385",2014-07-07,20,0.3,188
"386",2014-07-07,21,0.305,188
"387",2014-07-07,22,0.31,188
"388",2014-07-07,23,NA,188
"389",2014-07-07,24,NA,188
"390",2014-07-07,25,NA,188
"391",2014-08-04,0,0.03,216
"392",2014-08-04,1,0.03,216
"393",2014-08-04,2,0.03,216
"394",2014-08-04,3,0.03,216
"395",2014-08-04,4,0.03,216
"396",2014-08-04,5,0.03,216
"397",2014-08-04,6,0.03,216
"398",2014-08-04,7,0.03,216
"399",2014-08-04,8,0.03,216
"400",2014-08-04,9,0.025,216
"401",2014-08-04,10,0.02,216
"402",2014-08-04,11,0.06,216
"403",2014-08-04,12,0.1,216
"404",2014-08-04,13,0.13,216
"405",2014-08-04,14,0.16,216
"406",2014-08-04,15,0.205,216
"407",2014-08-04,16,0.25,216
"408",2014-08-04,17,0.27,216
"409",2014-08-04,18,0.29,216
"410",2014-08-04,19,0.335,216
"411",2014-08-04,20,0.38,216
"412",2014-08-04,21,0.385,216
"413",2014-08-04,22,0.39,216
"414",2014-08-04,23,NA,216
"415",2014-08-04,24,NA,216
"416",2014-08-04,25,NA,216
"417",2014-08-20,0,0.03,232
"418",2014-08-20,1,0.03,232
"419",2014-08-20,2,0.03,232
"420",2014-08-20,3,0.03,232
"421",2014-08-20,4,0.03,232
"422",2014-08-20,5,NA,232
"423",2014-08-20,6,NA,232
"424",2014-08-20,7,NA,232
"425",2014-08-20,8,NA,232
"426",2014-08-20,9,NA,232
"427",2014-08-20,10,NA,232
"428",2014-08-20,11,NA,232
"429",2014-08-20,12,NA,232
"430",2014-08-20,13,NA,232
"431",2014-08-20,14,NA,232
"432",2014-08-20,15,NA,232
"433",2014-08-20,16,NA,232
"434",2014-08-20,17,NA,232
"435",2014-08-20,18,NA,232
"436",2014-08-20,19,NA,232
"437",2014-08-20,20,NA,232
"438",2014-08-20,21,NA,232
"439",2014-08-20,22,NA,232
"440",2014-08-20,23,NA,232
"441",2014-08-20,24,NA,232
"442",2014-08-20,25,NA,232
