"","sampledate","daynum","Yr","extTotP_kgday"
"125",2014-07-29,210,2014,31.5783531673779
"126",2014-07-30,211,2014,31.4979343049778
"127",2014-07-31,212,2014,30.6842529768057
"128",2014-08-01,213,2014,57.7281950087038
"129",2014-08-02,214,2014,40.80423406117
"130",2014-08-03,215,2014,33.3828232605685
"131",2014-08-04,216,2014,104.88036956498
"132",2014-08-05,217,2014,138.047862578473
"133",2014-08-06,218,2014,66.0637082178243
"134",2014-08-07,219,2014,51.7145806307289
"135",2014-08-08,220,2014,44.2204821391658
"136",2014-08-09,221,2014,41.5980002831682
"137",2014-08-10,222,2014,39.4432787649336
"138",2014-08-11,223,2014,50.2237242731365
"139",2014-08-12,224,2014,36.483805910853
"140",2014-08-13,225,2014,38.2906736458189
"141",2014-08-14,226,2014,35.2705747068501
"142",2014-08-15,227,2014,30.2930459157235
"143",2014-08-16,228,2014,37.9995069645219
"144",2014-08-17,229,2014,34.6217190178594
"145",2014-08-18,230,2014,29.3173280418636
"146",2014-08-19,231,2014,57.9625466286127
"147",2014-08-20,232,2014,35.350063871419
"148",2014-08-21,233,2014,52.2052057842639
"149",2014-08-22,234,2014,35.2704034467233
"150",2014-08-23,235,2014,34.1457713610501
"151",2014-08-24,236,2014,30.4066647769909
"152",2014-08-25,237,2014,109.415131451529
"153",2014-08-26,238,2014,85.8458923270053
"154",2014-08-27,239,2014,62.0211820247566
"155",2014-08-28,240,2014,48.3355947959022
"156",2014-08-29,241,2014,31.7391040849286
"157",2014-08-30,242,2014,54.6852597122588
"158",2014-08-31,243,2014,41.5715772921758
"159",2014-09-01,244,2014,40.2105281255732
"160",2014-09-02,245,2014,35.5082348313875
"161",2014-09-03,246,2014,22.9176062263024
"162",2014-09-04,247,2014,259.630763813427
"163",2014-09-05,248,2014,140.881240891782
"164",2014-09-06,249,2014,70.04858884827
"165",2014-09-07,250,2014,52.5253994682101
"166",2014-09-08,251,2014,39.3750193715365
"167",2014-09-09,252,2014,36.1760309898195
"168",2014-09-10,253,2014,49.2807558812906
"169",2014-09-11,254,2014,28.2402241729365
"170",2014-09-12,255,2014,32.6730890500678
"171",2015-07-14,195,2015,64.5552000894812
"172",2015-07-15,196,2015,40.3234090223052
"173",2015-07-16,197,2015,68.1120895866623
"174",2015-07-17,198,2015,57.139734461853
"175",2015-07-18,199,2015,147.092149290206
"176",2015-07-19,200,2015,98.7291552979354
"177",2015-07-20,201,2015,59.3553756537646
"178",2015-07-21,202,2015,50.0633394195618
"179",2015-07-22,203,2015,45.9787119981198
"180",2015-07-23,204,2015,42.2071236227407
"181",2015-07-24,205,2015,37.7824469866656
"182",2015-07-25,206,2015,44.4410407167554
"183",2015-07-26,207,2015,43.283077602245
"184",2015-07-27,208,2015,38.7696392890213
"185",2015-07-28,209,2015,39.7733214950148
"186",2015-07-29,210,2015,77.0730961718377
"187",2015-07-30,211,2015,45.9586011660866
