Field Sample Number,Depth_ft,SampleDate,Value,Units,Variable
ENN,20,6/30/2015,18.13,ug/L,Chl-a
ENN,20,7/21/2015,3.34,ug/L,Chl-a
ENN,20,8/12/2015,4,ug/L,Chl-a
ENN,20,9/1/2015,12.18,ug/L,Chl-a
ENN,20,9/22/2015,6.43,ug/L,Chl-a
ENN,20,10/13/2015,1.83,ug/L,Chl-a
ENN,20,11/3/2015,1.84,ug/L,Chl-a
ENN,20,11/24/2015,2.65,ug/L,Chl-a
ENN,20,12/8/2015,0.09,ug/L,Chl-a
ENN,0,5/6/2015,69.348,ug/L,Chl-a
ENN,0,5/13/2015,18.479,ug/L,Chl-a
ENN,0,5/20/2015,22.358,ug/L,Chl-a
ENN,0,6/3/2015,20,ug/L,Chl-a
ENN,0,6/5/2015,33.206,ug/L,Chl-a
ENN,0,6/6/2015,137.546,ug/L,Chl-a
ENN,0,6/7/2015,52.083,ug/L,Chl-a
ENN,0,6/16/2015,82.645,ug/L,Chl-a
ENN,0,6/18/2015,84.337,ug/L,Chl-a
ENN,0,6/19/2015,89.362,ug/L,Chl-a
ENN,0,6/20/2015,98.131,ug/L,Chl-a
ENN,0,6/21/2015,41.494,ug/L,Chl-a
ENN,0,6/11/2015,111.111,ug/L,Chl-a
ENN,0,6/12/2015,93.567,ug/L,Chl-a
ENN,0,6/13/2015,89.623,ug/L,Chl-a
ENN,0,6/14/2015,96.491,ug/L,Chl-a
ENN,0,6/15/2015,92.105,ug/L,Chl-a
ENN,0,6/22/2015,46.154,ug/L,Chl-a
ENN,0,6/23/2015,80.292,ug/L,Chl-a
ENN,0,6/24/2015,92.593,ug/L,Chl-a
ENN,0,6/30/2015,62.271,ug/L,Chl-a
ENN,0,7/1/2015,42.683,ug/L,Chl-a
ENN,0,6/25/2015,93.117,ug/L,Chl-a
ENN,0,6/26/2015,148.76,ug/L,Chl-a
ENN,0,6/8/2015,71.429,ug/L,Chl-a
ENN,0,6/9/2015,108.333,ug/L,Chl-a
ENN,0,6/10/2015,110.204,ug/L,Chl-a
ENN,0,7/6/2015,57.034,ug/L,Chl-a
ENN,0,7/20/2015,54.726,ug/L,Chl-a
ENN,0,7/17/2015,78.603,ug/L,Chl-a
ENN,0,7/15/2015,47.764,ug/L,Chl-a
ENN,0,8/5/2015,59.859,ug/L,Chl-a
ENN,0,7/22/2015,53.64,ug/L,Chl-a
ENN,0,7/24/2015,44.28,ug/L,Chl-a
ENN,0,7/29/2015,51.502,ug/L,Chl-a
ENN,0,7/31/2015,56.075,ug/L,Chl-a
ENN,0,8/3/2015,45.082,ug/L,Chl-a
ENN,0,8/12/2015,41.522,ug/L,Chl-a
ENN,0,8/21/2015,52.632,ug/L,Chl-a
ENN,0,8/26/2015,38.806,ug/L,Chl-a
ENN,0,9/2/2015,45.833,ug/L,Chl-a
ENN,0,9/9/2015,57.143,ug/L,Chl-a
ENN,0,9/16/2015,38.835,ug/L,Chl-a
ENN,0,9/23/2015,34.615,ug/L,Chl-a
ENN,0,9/30/2015,17.115,ug/L,Chl-a
ENN,0,4/1/2016,0,ug/L,Chl-a
ENN,0,4/27/2016,17.182,ug/L,Chl-a
ENN,0,5/11/2016,4.853,ug/L,Chl-a
ENN,0,6/1/2016,24.067,ug/L,Chl-a
ENN,0,5/25/2016,64.257,ug/L,Chl-a
ENN,0,5/31/2016,28.891,ug/L,Chl-a
ENN,0,6/3/2016,23.885,ug/L,Chl-a
ENN,0,6/6/2016,11.872,ug/L,Chl-a
ENN,0,6/8/2016,23.374,ug/L,Chl-a
ENN,0,6/10/2016,84.883,ug/L,Chl-a
ENN,0,6/13/2016,42.644,ug/L,Chl-a
ENN,0,6/15/2016,20.072,ug/L,Chl-a
ENN,0,6/17/2016,55.205,ug/L,Chl-a
ENN,0,6/20/2016,32.064,ug/L,Chl-a
ENN,0,6/22/2016,42.579,ug/L,Chl-a
ENN,0,6/24/2016,21.786,ug/L,Chl-a
ENN,0,6/27/2016,25.381,ug/L,Chl-a
ENN,0,6/29/2016,22.014,ug/L,Chl-a
ENN,0,7/1/2016,24.752,ug/L,Chl-a
ENN,0,7/6/2016,15.306,ug/L,Chl-a
ENN,0,7/6/2016,NA,ug/L,Chl-a
ENN,0,7/14/2016,38.986,ug/L,Chl-a
ENN,0,7/20/2016,14.465,ug/L,Chl-a
ENN,0,7/22/2016,15.949,ug/L,Chl-a
ENN,0,7/27/2016,20.09,ug/L,Chl-a
ENN,0,8/3/2016,9.906,ug/L,Chl-a
ENN,0,8/10/2016,13.351,ug/L,Chl-a
ENN,0,8/17/2016,15.136,ug/L,Chl-a
ENN,0,8/24/2016,33.761,ug/L,Chl-a
ENN,0,8/31/2016,21.404,ug/L,Chl-a
ENN,0,9/14/2016,15.205,ug/L,Chl-a
ENN,0,9/28/2016,27.388,ug/L,Chl-a
ENN,0,8/4/2016,31.822,ug/L,Chl-a
ENN,10,8/4/2016,22.714,ug/L,Chl-a
ENN,20,8/4/2016,10.053,ug/L,Chl-a
ENN,5,8/4/2016,37.492,ug/L,Chl-a
ENN,0,8/30/2016,34.646,ug/L,Chl-a
ENN,10,8/30/2016,43.065,ug/L,Chl-a
ENN,20,8/30/2016,11.774,ug/L,Chl-a
ENN,5,8/30/2016,24.529,ug/L,Chl-a
ENN,0,8/3/2017,91.71,ug/L,Chl-a
ENN,5,8/3/2017,89.436,ug/L,Chl-a
ENN,10,8/3/2017,88.856,ug/L,Chl-a
ENN,20,8/3/2017,14.043,ug/L,Chl-a
ENN,0,9/12/2017,33.01,ug/L,Chl-a
ENN,5,9/12/2017,33.272,ug/L,Chl-a
ENN,10,9/12/2017,29.843,ug/L,Chl-a
ENN,20,9/12/2017,31.68,ug/L,Chl-a
ENN,0,10/3/2017,44.957,ug/L,Chl-a
ENN,5,10/3/2017,51.265,ug/L,Chl-a
ENN,10,10/3/2017,22.39,ug/L,Chl-a
ENN,20,10/3/2017,16.674,ug/L,Chl-a
ENN,0,10/24/2017,25.631,ug/L,Chl-a
ENN,0,10/24/2017,19.438,ug/L,Chl-a
ENN,5,10/24/2017,22.643,ug/L,Chl-a
ENN,10,10/24/2017,21.936,ug/L,Chl-a
ENN,20,10/24/2017,23.85,ug/L,Chl-a
ENN,0,11/14/2017,3.501,ug/L,Chl-a
ENN,5,11/14/2017,4.836,ug/L,Chl-a
ENN,10,11/14/2017,4.341,ug/L,Chl-a
ENN,20,11/14/2017,3.403,ug/L,Chl-a
ENN,0,12/5/2017,4.985,ug/L,Chl-a
ENN,5,12/5/2017,5.215,ug/L,Chl-a
ENN,10,12/5/2017,5.504,ug/L,Chl-a
ENN,20,12/5/2017,6.502,ug/L,Chl-a
ENN,0,3/27/2018,6.796,ug/L,Chl-a
ENN,5,3/27/2018,7.682,ug/L,Chl-a
ENN,10,3/27/2018,6.159,ug/L,Chl-a
ENN,20,3/27/2018,7.248,ug/L,Chl-a
ENN,0,4/24/2018,6.034,ug/L,Chl-a
ENN,5,4/24/2018,3.935,ug/L,Chl-a
ENN,10,4/24/2018,3.79,ug/L,Chl-a
ENN,20,4/24/2018,1.48,ug/L,Chl-a
ENN,0,5/16/2018,30.652,ug/L,Chl-a
ENN,5,5/16/2018,28.264,ug/L,Chl-a
ENN,10,5/16/2018,20.268,ug/L,Chl-a
ENN,20,5/16/2018,2.495,ug/L,Chl-a
ENN,0,5/29/2018,23.055,ug/L,Chl-a
ENN,5,5/29/2018,20.629,ug/L,Chl-a
ENN,10,5/29/2018,5.195,ug/L,Chl-a
ENN,20,5/29/2018,4.202,ug/L,Chl-a
ENN,0,6/14/2018,66.354,ug/L,Chl-a
ENN,5,6/14/2018,49.225,ug/L,Chl-a
ENN,10,6/14/2018,43.611,ug/L,Chl-a
ENN,20,6/14/2018,19.386,ug/L,Chl-a
ENN,0,6/20/2018,110.722,ug/L,Chl-a
ENN,5,6/20/2018,108.25,ug/L,Chl-a
ENN,10,6/20/2018,46.045,ug/L,Chl-a
ENN,20,6/20/2018,9.319,ug/L,Chl-a
ENN,0,7/12/2018,81.775,ug/L,Chl-a
ENN,5,7/12/2018,73.338,ug/L,Chl-a
ENN,10,7/12/2018,55.485,ug/L,Chl-a
ENN,20,7/12/2018,12.096,ug/L,Chl-a
ENN,0,8/2/2018,48.177,ug/L,Chl-a
ENN,5,8/2/2018,61.61,ug/L,Chl-a
ENN,10,8/2/2018,46.182,ug/L,Chl-a
ENN,20,8/2/2018,19.146,ug/L,Chl-a
ENN,0,9/6/2018,45.35,ug/L,Chl-a
ENN,5,9/6/2018,53.868,ug/L,Chl-a
ENN,10,9/6/2018,29.991,ug/L,Chl-a
ENN,20,9/6/2018,15.136,ug/L,Chl-a
ENN,0,9/25/2018,22.895,ug/L,Chl-a
ENN,5,9/25/2018,20.02,ug/L,Chl-a
ENN,10,9/25/2018,21.731,ug/L,Chl-a
ENN,20,9/25/2018,14.84,ug/L,Chl-a
ENN,0,10/16/2018,11.773,ug/L,Chl-a
ENN,5,10/16/2018,13.526,ug/L,Chl-a
ENN,10,10/16/2018,10.348,ug/L,Chl-a
ENN,20,10/16/2018,12.503,ug/L,Chl-a
ENN,0,11/6/2018,3.655,ug/L,Chl-a
ENN,5,11/6/2018,3.873,ug/L,Chl-a
ENN,10,11/6/2018,2.96,ug/L,Chl-a
ENN,20,11/6/2018,3.015,ug/L,Chl-a
ENN,0,11/28/2018,4.52,ug/L,Chl-a
ENN,5,11/28/2018,3.116,ug/L,Chl-a
ENN,10,11/28/2018,2.541,ug/L,Chl-a
ENN,20,11/28/2018,2.68,ug/L,Chl-a
ENN,0,12/18/2018,3.678,ug/L,Chl-a
ENN,5,12/18/2018,2.416,ug/L,Chl-a
ENN,10,12/18/2018,2.952,ug/L,Chl-a
ENN,20,12/18/2018,2.089,ug/L,Chl-a
ENN,0,4/23/2019,29.874,ug/L,Chl-a
ENN,0,4/23/2019,29.013,ug/L,Chl-a
ENN,10,4/23/2019,22.061,ug/L,Chl-a
ENN,0,5/21/2019,46.76,ug/L,Chl-a
ENN,10,5/21/2019,32.814,ug/L,Chl-a
ENN,5,5/21/2019,42.326,ug/L,Chl-a
ENN,0,6/6/2019,64.285,ug/L,Chl-a
ENN,10,6/6/2019,38.508,ug/L,Chl-a
ENN,5,6/6/2019,50.281,ug/L,Chl-a
ENN,0,7/18/2019,72.139,ug/L,Chl-a
ENN,10,7/18/2019,57.179,ug/L,Chl-a
ENN,5,7/18/2019,59.426,ug/L,Chl-a
ENN,0,7/30/2019,61.416,ug/L,Chl-a
ENN,10,7/30/2019,97.489,ug/L,Chl-a
ENN,5,7/30/2019,78.881,ug/L,Chl-a
ENN,0,8/13/2019,44.962,ug/L,Chl-a
ENN,10,8/13/2019,39.425,ug/L,Chl-a
ENN,5,8/13/2019,37.797,ug/L,Chl-a
ENN,0,9/5/2019,24.769,ug/L,Chl-a
ENN,10,9/5/2019,22.908,ug/L,Chl-a
ENN,5,9/5/2019,27.315,ug/L,Chl-a
ENN,0,9/24/2019,28.245,ug/L,Chl-a
ENN,10,9/24/2019,31.291,ug/L,Chl-a
ENN,5,9/24/2019,26.104,ug/L,Chl-a
ENN,0,10/17/2019,20.585,ug/L,Chl-a
ENN,10,10/17/2019,18.856,ug/L,Chl-a
ENN,5,10/17/2019,19.861,ug/L,Chl-a
ENN,0,11/5/2019,7.668,ug/L,Chl-a
ENN,10,11/5/2019,7.508,ug/L,Chl-a
ENN,5,11/5/2019,7.601,ug/L,Chl-a
ENN,0,12/5/2019,4.581,ug/L,Chl-a
ENN,10,12/5/2019,3.585,ug/L,Chl-a
ENN,5,12/5/2019,4.008,ug/L,Chl-a
ENN,0,6/20/2017,70.766,ug/L,Chl-a
ENN,0,6/6/2017,26.934,ug/L,Chl-a
ENN,0,9/2/2021,16.136,ug/L,Chl-a
ENN,0,9/21/2021,36.69,ug/L,Chl-a
BUO,0,5/26/2015,4.92,RFU,CHL_InsituProbeR
BUO,5,5/26/2015,3.52,RFU,CHL_InsituProbeR
BUO,10,5/26/2015,2.33,RFU,CHL_InsituProbeR
BUO,15,5/26/2015,1.57,RFU,CHL_InsituProbeR
BUO,20,5/26/2015,1.53,RFU,CHL_InsituProbeR
BUO,25,5/26/2015,1.21,RFU,CHL_InsituProbeR
BUO,30,5/26/2015,1.02,RFU,CHL_InsituProbeR
BUO,35,5/26/2015,0.82,RFU,CHL_InsituProbeR
BUO,40,5/26/2015,0.82,RFU,CHL_InsituProbeR
BUO,45,5/26/2015,0.81,RFU,CHL_InsituProbeR
BUO,49,5/26/2015,0.80,RFU,CHL_InsituProbeR
BUO,0,6/9/2015,2.76,RFU,CHL_InsituProbeR
BUO,5,6/9/2015,2.96,RFU,CHL_InsituProbeR
BUO,10,6/9/2015,1.37,RFU,CHL_InsituProbeR
BUO,15,6/9/2015,0.75,RFU,CHL_InsituProbeR
BUO,20,6/9/2015,0.78,RFU,CHL_InsituProbeR
BUO,25,6/9/2015,0.88,RFU,CHL_InsituProbeR
BUO,30,6/9/2015,0.87,RFU,CHL_InsituProbeR
BUO,35,6/9/2015,0.92,RFU,CHL_InsituProbeR
BUO,40,6/9/2015,0.90,RFU,CHL_InsituProbeR
BUO,45,6/9/2015,0.89,RFU,CHL_InsituProbeR
BUO,49,6/9/2015,0.86,RFU,CHL_InsituProbeR
BUO,0,6/23/2015,4.94,RFU,CHL_InsituProbeR
BUO,5,6/23/2015,3.62,RFU,CHL_InsituProbeR
BUO,10,6/23/2015,1.69,RFU,CHL_InsituProbeR
BUO,15,6/23/2015,1.29,RFU,CHL_InsituProbeR
BUO,20,6/23/2015,1.14,RFU,CHL_InsituProbeR
BUO,25,6/23/2015,1.14,RFU,CHL_InsituProbeR
BUO,30,6/23/2015,1.03,RFU,CHL_InsituProbeR
BUO,35,6/23/2015,1.04,RFU,CHL_InsituProbeR
BUO,40,6/23/2015,1.07,RFU,CHL_InsituProbeR
BUO,45,6/23/2015,1.09,RFU,CHL_InsituProbeR
BUO,50,6/23/2015,1.07,RFU,CHL_InsituProbeR
BUO,52,6/23/2015,1.06,RFU,CHL_InsituProbeR
BUO,0,6/30/2015,5.05,RFU,CHL_InsituProbeR
BUO,5,6/30/2015,5.02,RFU,CHL_InsituProbeR
BUO,10,6/30/2015,1.98,RFU,CHL_InsituProbeR
BUO,15,6/30/2015,1.73,RFU,CHL_InsituProbeR
BUO,20,6/30/2015,1.14,RFU,CHL_InsituProbeR
BUO,25,6/30/2015,1.15,RFU,CHL_InsituProbeR
BUO,30,6/30/2015,1.12,RFU,CHL_InsituProbeR
BUO,35,6/30/2015,1.09,RFU,CHL_InsituProbeR
BUO,40,6/30/2015,1.10,RFU,CHL_InsituProbeR
BUO,45,6/30/2015,1.12,RFU,CHL_InsituProbeR
BUO,50,6/30/2015,1.11,RFU,CHL_InsituProbeR
BUO,0,7/21/2015,4.39,RFU,CHL_InsituProbeR
BUO,5,7/21/2015,2.29,RFU,CHL_InsituProbeR
BUO,10,7/21/2015,1.58,RFU,CHL_InsituProbeR
BUO,15,7/21/2015,1.38,RFU,CHL_InsituProbeR
BUO,20,7/21/2015,1.35,RFU,CHL_InsituProbeR
BUO,25,7/21/2015,1.35,RFU,CHL_InsituProbeR
BUO,30,7/21/2015,1.34,RFU,CHL_InsituProbeR
BUO,35,7/21/2015,1.31,RFU,CHL_InsituProbeR
BUO,40,7/21/2015,1.33,RFU,CHL_InsituProbeR
BUO,45,7/21/2015,1.32,RFU,CHL_InsituProbeR
BUO,50,7/21/2015,1.29,RFU,CHL_InsituProbeR
BUO,55,7/21/2015,1.22,RFU,CHL_InsituProbeR
BUO,0,8/12/2015,2.52,RFU,CHL_InsituProbeR
BUO,5,8/12/2015,2.72,RFU,CHL_InsituProbeR
BUO,10,8/12/2015,2.48,RFU,CHL_InsituProbeR
BUO,15,8/12/2015,1.85,RFU,CHL_InsituProbeR
BUO,20,8/12/2015,1.31,RFU,CHL_InsituProbeR
BUO,25,8/12/2015,1.20,RFU,CHL_InsituProbeR
BUO,30,8/12/2015,1.19,RFU,CHL_InsituProbeR
BUO,35,8/12/2015,1.20,RFU,CHL_InsituProbeR
BUO,40,8/12/2015,1.19,RFU,CHL_InsituProbeR
BUO,45,8/12/2015,1.20,RFU,CHL_InsituProbeR
BUO,49,8/12/2015,1.18,RFU,CHL_InsituProbeR
BUO,0,9/1/2015,5.89,RFU,CHL_InsituProbeR
BUO,5,9/1/2015,6.40,RFU,CHL_InsituProbeR
BUO,10,9/1/2015,4.07,RFU,CHL_InsituProbeR
BUO,15,9/1/2015,2.68,RFU,CHL_InsituProbeR
BUO,20,9/1/2015,1.66,RFU,CHL_InsituProbeR
BUO,25,9/1/2015,1.42,RFU,CHL_InsituProbeR
BUO,30,9/1/2015,1.41,RFU,CHL_InsituProbeR
BUO,35,9/1/2015,1.30,RFU,CHL_InsituProbeR
BUO,40,9/1/2015,1.21,RFU,CHL_InsituProbeR
BUO,45,9/1/2015,1.25,RFU,CHL_InsituProbeR
BUO,49,9/1/2015,1.22,RFU,CHL_InsituProbeR
BUO,0,9/22/2015,1.84,RFU,CHL_InsituProbeR
BUO,5,9/22/2015,2.14,RFU,CHL_InsituProbeR
BUO,10,9/22/2015,2.15,RFU,CHL_InsituProbeR
BUO,15,9/22/2015,2.14,RFU,CHL_InsituProbeR
BUO,20,9/22/2015,2.38,RFU,CHL_InsituProbeR
BUO,25,9/22/2015,2.24,RFU,CHL_InsituProbeR
BUO,30,9/22/2015,2.06,RFU,CHL_InsituProbeR
BUO,35,9/22/2015,2.02,RFU,CHL_InsituProbeR
BUO,40,9/22/2015,1.98,RFU,CHL_InsituProbeR
BUO,45,9/22/2015,1.96,RFU,CHL_InsituProbeR
BUO,47,9/22/2015,1.98,RFU,CHL_InsituProbeR
BUO,0,10/13/2015,5.44,RFU,CHL_InsituProbeR
BUO,5,10/13/2015,5.72,RFU,CHL_InsituProbeR
BUO,10,10/13/2015,6.00,RFU,CHL_InsituProbeR
BUO,15,10/13/2015,5.67,RFU,CHL_InsituProbeR
BUO,20,10/13/2015,5.76,RFU,CHL_InsituProbeR
BUO,25,10/13/2015,5.75,RFU,CHL_InsituProbeR
BUO,35,10/13/2015,4.22,RFU,CHL_InsituProbeR
BUO,40,10/13/2015,3.64,RFU,CHL_InsituProbeR
BUO,45,10/13/2015,2.26,RFU,CHL_InsituProbeR
BUO,47,10/13/2015,1.99,RFU,CHL_InsituProbeR
BUO,0,11/3/2015,0.95,RFU,CHL_InsituProbeR
BUO,5,11/3/2015,1.06,RFU,CHL_InsituProbeR
BUO,10,11/3/2015,0.96,RFU,CHL_InsituProbeR
BUO,15,11/3/2015,0.91,RFU,CHL_InsituProbeR
BUO,20,11/3/2015,0.91,RFU,CHL_InsituProbeR
BUO,25,11/3/2015,0.82,RFU,CHL_InsituProbeR
BUO,30,11/3/2015,0.81,RFU,CHL_InsituProbeR
BUO,35,11/3/2015,0.84,RFU,CHL_InsituProbeR
BUO,40,11/3/2015,0.83,RFU,CHL_InsituProbeR
BUO,47,11/3/2015,0.95,RFU,CHL_InsituProbeR
BUO,0,11/24/2015,1.04,RFU,CHL_InsituProbeR
BUO,5,11/24/2015,1.08,RFU,CHL_InsituProbeR
BUO,10,11/24/2015,1.12,RFU,CHL_InsituProbeR
BUO,15,11/24/2015,1.05,RFU,CHL_InsituProbeR
BUO,20,11/24/2015,1.10,RFU,CHL_InsituProbeR
BUO,25,11/24/2015,1.07,RFU,CHL_InsituProbeR
BUO,30,11/24/2015,1.05,RFU,CHL_InsituProbeR
BUO,35,11/24/2015,1.07,RFU,CHL_InsituProbeR
BUO,40,11/24/2015,1.04,RFU,CHL_InsituProbeR
BUO,45,11/24/2015,1.02,RFU,CHL_InsituProbeR
BUO,0,12/8/2015,0.96,RFU,CHL_InsituProbeR
BUO,5,12/8/2015,1.26,RFU,CHL_InsituProbeR
BUO,10,12/8/2015,1.29,RFU,CHL_InsituProbeR
BUO,16,12/8/2015,1.31,RFU,CHL_InsituProbeR
BUO,20,12/8/2015,1.32,RFU,CHL_InsituProbeR
BUO,25,12/8/2015,1.32,RFU,CHL_InsituProbeR
BUO,30,12/8/2015,1.21,RFU,CHL_InsituProbeR
BUO,35,12/8/2015,1.19,RFU,CHL_InsituProbeR
BUO,40,12/8/2015,1.16,RFU,CHL_InsituProbeR
BUO,45,12/8/2015,1.19,RFU,CHL_InsituProbeR
BUO,0,2/23/2016,0.88,RFU,CHL_InsituProbeR
BUO,5,2/23/2016,0.94,RFU,CHL_InsituProbeR
BUO,10,2/23/2016,0.95,RFU,CHL_InsituProbeR
BUO,15,2/23/2016,0.97,RFU,CHL_InsituProbeR
BUO,20,2/23/2016,0.96,RFU,CHL_InsituProbeR
BUO,25,2/23/2016,0.98,RFU,CHL_InsituProbeR
BUO,30,2/23/2016,0.97,RFU,CHL_InsituProbeR
BUO,35,2/23/2016,0.98,RFU,CHL_InsituProbeR
BUO,40,2/23/2016,0.95,RFU,CHL_InsituProbeR
BUO,45,2/23/2016,0.97,RFU,CHL_InsituProbeR
BUO,50,2/23/2016,0.95,RFU,CHL_InsituProbeR
BUO,52,2/23/2016,0.94,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,2.44,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,1.52,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,1.37,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,1.34,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,1.08,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,0.97,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,0.94,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,0.92,RFU,CHL_InsituProbeR
BUO,0,3/15/2016,0.90,RFU,CHL_InsituProbeR
BUO,47,3/15/2016,0.92,RFU,CHL_InsituProbeR
BUO,0,4/5/2016,0.35,RFU,CHL_InsituProbeR
BUO,5,4/5/2016,0.31,RFU,CHL_InsituProbeR
BUO,10,4/5/2016,0.30,RFU,CHL_InsituProbeR
BUO,15,4/5/2016,0.30,RFU,CHL_InsituProbeR
BUO,20,4/5/2016,0.28,RFU,CHL_InsituProbeR
BUO,25,4/5/2016,0.28,RFU,CHL_InsituProbeR
BUO,30,4/5/2016,0.28,RFU,CHL_InsituProbeR
BUO,35,4/5/2016,0.28,RFU,CHL_InsituProbeR
BUO,40,4/5/2016,0.26,RFU,CHL_InsituProbeR
BUO,45,4/5/2016,0.27,RFU,CHL_InsituProbeR
BUO,46,4/5/2016,0.24,RFU,CHL_InsituProbeR
BUO,0,4/26/2016,10.34,RFU,CHL_InsituProbeR
BUO,5,4/26/2016,5.70,RFU,CHL_InsituProbeR
BUO,10,4/26/2016,2.17,RFU,CHL_InsituProbeR
BUO,15,4/26/2016,1.93,RFU,CHL_InsituProbeR
BUO,20,4/26/2016,2.07,RFU,CHL_InsituProbeR
BUO,25,4/26/2016,1.07,RFU,CHL_InsituProbeR
BUO,30,4/26/2016,0.90,RFU,CHL_InsituProbeR
BUO,35,4/26/2016,0.87,RFU,CHL_InsituProbeR
BUO,40,4/26/2016,0.89,RFU,CHL_InsituProbeR
BUO,45,4/26/2016,0.88,RFU,CHL_InsituProbeR
BUO,51,4/26/2016,0.85,RFU,CHL_InsituProbeR
BUO,0,5/10/2016,0.57,RFU,CHL_InsituProbeR
BUO,5,5/10/2016,0.61,RFU,CHL_InsituProbeR
BUO,10,5/10/2016,0.64,RFU,CHL_InsituProbeR
BUO,15,5/10/2016,0.61,RFU,CHL_InsituProbeR
BUO,20,5/10/2016,0.59,RFU,CHL_InsituProbeR
BUO,30,5/10/2016,0.65,RFU,CHL_InsituProbeR
BUO,35,5/10/2016,0.65,RFU,CHL_InsituProbeR
BUO,40,5/10/2016,0.71,RFU,CHL_InsituProbeR
BUO,45,5/10/2016,0.66,RFU,CHL_InsituProbeR
BUO,50,5/10/2016,0.76,RFU,CHL_InsituProbeR
BUO,0,5/24/2016,5.98,RFU,CHL_InsituProbeR
BUO,5,5/24/2016,7.30,RFU,CHL_InsituProbeR
BUO,10,5/24/2016,2.51,RFU,CHL_InsituProbeR
BUO,15,5/24/2016,1.62,RFU,CHL_InsituProbeR
BUO,20,5/24/2016,1.31,RFU,CHL_InsituProbeR
BUO,25,5/24/2016,1.05,RFU,CHL_InsituProbeR
BUO,30,5/24/2016,0.81,RFU,CHL_InsituProbeR
BUO,35,5/24/2016,0.82,RFU,CHL_InsituProbeR
BUO,40,5/24/2016,0.84,RFU,CHL_InsituProbeR
BUO,45,5/24/2016,0.86,RFU,CHL_InsituProbeR
BUO,49,5/24/2016,0.85,RFU,CHL_InsituProbeR
BUO,0,6/7/2016,4.39,RFU,CHL_InsituProbeR
BUO,5,6/7/2016,2.88,RFU,CHL_InsituProbeR
BUO,10,6/7/2016,1.14,RFU,CHL_InsituProbeR
BUO,15,6/7/2016,0.89,RFU,CHL_InsituProbeR
BUO,20,6/7/2016,0.86,RFU,CHL_InsituProbeR
BUO,25,6/7/2016,1.25,RFU,CHL_InsituProbeR
BUO,30,6/7/2016,1.27,RFU,CHL_InsituProbeR
BUO,35,6/7/2016,1.10,RFU,CHL_InsituProbeR
BUO,40,6/7/2016,0.97,RFU,CHL_InsituProbeR
BUO,45,6/7/2016,0.91,RFU,CHL_InsituProbeR
BUO,50,6/7/2016,0.93,RFU,CHL_InsituProbeR
BUO,0,6/16/2016,3.84,RFU,CHL_InsituProbeR
BUO,5,6/16/2016,4.68,RFU,CHL_InsituProbeR
BUO,10,6/16/2016,1.88,RFU,CHL_InsituProbeR
BUO,10,6/16/2016,0.94,RFU,CHL_InsituProbeR
BUO,20,6/16/2016,0.71,RFU,CHL_InsituProbeR
BUO,25,6/16/2016,0.73,RFU,CHL_InsituProbeR
BUO,30,6/16/2016,0.79,RFU,CHL_InsituProbeR
BUO,35,6/16/2016,0.86,RFU,CHL_InsituProbeR
BUO,40,6/16/2016,0.86,RFU,CHL_InsituProbeR
BUO,45,6/16/2016,0.84,RFU,CHL_InsituProbeR
BUO,49,6/16/2016,0.82,RFU,CHL_InsituProbeR
BUO,0,6/21/2016,328.07,RFU,CHL_InsituProbeR
BUO,5,6/21/2016,282.87,RFU,CHL_InsituProbeR
BUO,10,6/21/2016,282.01,RFU,CHL_InsituProbeR
BUO,15,6/21/2016,330.38,RFU,CHL_InsituProbeR
BUO,20,6/21/2016,345.64,RFU,CHL_InsituProbeR
BUO,25,6/21/2016,346.38,RFU,CHL_InsituProbeR
BUO,30,6/21/2016,333.47,RFU,CHL_InsituProbeR
BUO,35,6/21/2016,281.30,RFU,CHL_InsituProbeR
BUO,40,6/21/2016,238.53,RFU,CHL_InsituProbeR
BUO,45,6/21/2016,223.93,RFU,CHL_InsituProbeR
BUO,49,6/21/2016,222.39,RFU,CHL_InsituProbeR
BUO,0,6/28/2016,3.54,RFU,CHL_InsituProbeR
BUO,5,6/28/2016,4.11,RFU,CHL_InsituProbeR
BUO,10,6/28/2016,2.50,RFU,CHL_InsituProbeR
BUO,15,6/28/2016,1.50,RFU,CHL_InsituProbeR
BUO,20,6/28/2016,1.05,RFU,CHL_InsituProbeR
BUO,25,6/28/2016,0.98,RFU,CHL_InsituProbeR
BUO,30,6/28/2016,0.98,RFU,CHL_InsituProbeR
BUO,35,6/28/2016,0.99,RFU,CHL_InsituProbeR
BUO,40,6/28/2016,1.00,RFU,CHL_InsituProbeR
BUO,45,6/28/2016,0.98,RFU,CHL_InsituProbeR
BUO,49,6/28/2016,0.95,RFU,CHL_InsituProbeR
BUO,0,8/4/2016,1.34,RFU,CHL_InsituProbeR
BUO,5,8/4/2016,2.26,RFU,CHL_InsituProbeR
BUO,10,8/4/2016,2.29,RFU,CHL_InsituProbeR
BUO,15,8/4/2016,1.41,RFU,CHL_InsituProbeR
