Field Sample Number,Depth_ft,SampleDate,Value,Units,Variable
EFL,5,6/30/2015,5.02,RFU,CHL_InsituProbeR
EFL,10,6/30/2015,1.98,RFU,CHL_InsituProbeR
EFL,15,6/30/2015,1.73,RFU,CHL_InsituProbeR
EFL,20,6/30/2015,1.14,RFU,CHL_InsituProbeR
EFL,25,6/30/2015,1.15,RFU,CHL_InsituProbeR
EFL,30,6/30/2015,1.12,RFU,CHL_InsituProbeR
EFL,35,6/30/2015,1.09,RFU,CHL_InsituProbeR
EFL,40,6/30/2015,1.1,RFU,CHL_InsituProbeR
EFL,45,6/30/2015,1.12,RFU,CHL_InsituProbeR
EFL,50,6/30/2015,1.11,RFU,CHL_InsituProbeR
EFL,0,7/21/2015,4.39,RFU,CHL_InsituProbeR
EFL,5,7/21/2015,2.29,RFU,CHL_InsituProbeR
EFL,10,7/21/2015,1.58,RFU,CHL_InsituProbeR
EFL,15,7/21/2015,1.38,RFU,CHL_InsituProbeR
EFL,20,7/21/2015,1.35,RFU,CHL_InsituProbeR
EFL,25,7/21/2015,1.35,RFU,CHL_InsituProbeR
EFL,30,7/21/2015,1.34,RFU,CHL_InsituProbeR
EFL,35,7/21/2015,1.31,RFU,CHL_InsituProbeR
EFL,40,7/21/2015,1.33,RFU,CHL_InsituProbeR
EFL,45,7/21/2015,1.32,RFU,CHL_InsituProbeR
EFL,50,7/21/2015,1.29,RFU,CHL_InsituProbeR
EFL,55,7/21/2015,1.22,RFU,CHL_InsituProbeR
EFL,0,8/12/2015,2.52,RFU,CHL_InsituProbeR
EFL,5,8/12/2015,2.72,RFU,CHL_InsituProbeR
EFL,10,8/12/2015,2.48,RFU,CHL_InsituProbeR
EFL,15,8/12/2015,1.85,RFU,CHL_InsituProbeR
EFL,20,8/12/2015,1.31,RFU,CHL_InsituProbeR
EFL,25,8/12/2015,1.2,RFU,CHL_InsituProbeR
EFL,30,8/12/2015,1.19,RFU,CHL_InsituProbeR
EFL,35,8/12/2015,1.2,RFU,CHL_InsituProbeR
EFL,40,8/12/2015,1.19,RFU,CHL_InsituProbeR
EFL,45,8/12/2015,1.2,RFU,CHL_InsituProbeR
EFL,49,8/12/2015,1.18,RFU,CHL_InsituProbeR
EFL,0,9/1/2015,5.89,RFU,CHL_InsituProbeR
EFL,5,9/1/2015,6.4,RFU,CHL_InsituProbeR
EFL,10,9/1/2015,4.07,RFU,CHL_InsituProbeR
EFL,15,9/1/2015,2.68,RFU,CHL_InsituProbeR
EFL,20,9/1/2015,1.66,RFU,CHL_InsituProbeR
EFL,25,9/1/2015,1.42,RFU,CHL_InsituProbeR
EFL,30,9/1/2015,1.41,RFU,CHL_InsituProbeR
EFL,35,9/1/2015,1.3,RFU,CHL_InsituProbeR
EFL,40,9/1/2015,1.21,RFU,CHL_InsituProbeR
EFL,45,9/1/2015,1.25,RFU,CHL_InsituProbeR
