"","SiteID","sampledate","Depth_m","avgtemp_C"
"113","ENN",2017-06-20,0,27.36
"114","ENN",2017-06-20,1.524,26.35
"115","ENN",2017-06-20,3.048,26.03
"116","ENN",2017-06-20,4.572,23.94
"117","ENN",2017-06-20,6.096,21.61
"118","ENN",2017-06-20,8.5344,17.85
"119","ENN",2017-07-20,0,30.11
"120","ENN",2017-07-20,1.524,29.57
"121","ENN",2017-07-20,3.048,26.99
"122","ENN",2017-07-20,4.572,26.35
"123","ENN",2017-07-20,6.096,24.96
"124","ENN",2017-07-20,8.2296,23.51
"125","ENN",2017-08-03,0,27.84
"126","ENN",2017-08-03,1.524,27.28
"127","ENN",2017-08-03,3.048,26.99
"128","ENN",2017-08-03,4.572,26.39
"129","ENN",2017-08-03,6.096,25.59
"130","ENN",2017-08-03,7.62,24.03
"131","ENN",2017-08-03,8.2296,23.75
"132","ENN",2017-09-12,0,22.06
"133","ENN",2017-09-12,1.2192,22.12
"134","ENN",2017-09-12,2.7432,22.12
"135","ENN",2017-09-12,4.2672,22.11
"136","ENN",2017-09-12,5.7912,22.09
"137","ENN",2017-09-12,7.62,22.04
"138","ENN",2017-10-03,0,22.88
"139","ENN",2017-10-03,1.524,22.06
"140","ENN",2017-10-03,3.048,21.93
"141","ENN",2017-10-03,4.572,21.9
"142","ENN",2017-10-03,6.096,21.88
"143","ENN",2017-10-03,7.62,21.87
"144","ENN",2018-06-14,0,28.482380952381
"145","ENN",2018-06-14,1.524,26.3209090909091
"146","ENN",2018-06-14,3.048,25.44375
"147","ENN",2018-06-14,4.572,25.008
"148","ENN",2018-06-14,6.096,22.9995454545455
"149","ENN",2018-06-14,7.62,19.93
"150","ENN",2018-06-14,8.2296,16.0326086956522
"151","ENN",2018-06-20,0,30.5555
"152","ENN",2018-06-20,1.524,29.9142857142857
"153","ENN",2018-06-20,3.048,26.6071428571429
"154","ENN",2018-06-20,4.572,25.4483333333333
"155","ENN",2018-06-20,6.096,22.8135
"156","ENN",2018-06-20,7.62,18.50875
"157","ENN",2018-06-20,8.2296,16.3165217391304
"158","ENN",2018-07-12,0,28.7808333333333
"159","ENN",2018-07-12,1.524,27.8195238095238
"160","ENN",2018-07-12,3.048,26.9504761904762
"161","ENN",2018-07-12,4.572,26.268
"162","ENN",2018-07-12,6.096,24.7438095238095
"163","ENN",2018-07-12,7.9248,22.3222727272727
"164","ENN",2018-08-02,0,27.6063636363636
"165","ENN",2018-08-02,1.524,26.1105
"166","ENN",2018-08-02,3.048,25.9885714285714
"167","ENN",2018-08-02,4.572,25.73
"168","ENN",2018-08-02,6.096,25.0631818181818
"169","ENN",2018-08-02,7.9248,23.4757692307692
"170","ENN",2018-09-06,0,30.8735
"171","ENN",2018-09-06,1.524,28.3847619047619
"172","ENN",2018-09-06,3.048,27.63
"173","ENN",2018-09-06,4.572,26.835
"174","ENN",2018-09-06,6.096,25.7242105263158
"175","ENN",2018-09-06,7.9248,24.9875
"176","ENN",2018-09-25,0,23.2022727272727
"177","ENN",2018-09-25,1.524,23.21
"178","ENN",2018-09-25,3.048,23.2063157894737
"179","ENN",2018-09-25,4.572,23.17
"180","ENN",2018-09-25,6.096,23.1252380952381
"181","ENN",2018-09-25,7.9248,22.7190476190476
"182","ENN",2019-06-06,0,25.742
"183","ENN",2019-06-06,1.524,24.5526315789474
"184","ENN",2019-06-06,3.048,24.097
"185","ENN",2019-06-06,4.572,23.424
"186","ENN",2019-06-06,6.096,21.2042105263158
"187","ENN",2019-06-06,7.9248,17.337
"188","ENN",2019-07-02,0,30.2325
"189","ENN",2019-07-02,1.524,29.5068181818182
"190","ENN",2019-07-02,3.048,25.5309677419355
"191","ENN",2019-07-02,4.572,23.464
"192","ENN",2019-07-02,6.096,22.7390476190476
"193","ENN",2019-07-02,7.62,22.25
"194","ENN",2019-07-02,9.144,21.943
"195","ENN",2019-07-18,0,29.9109090909091
"196","ENN",2019-07-18,1.524,29.357619047619
"197","ENN",2019-07-18,3.048,28.6268181818182
"198","ENN",2019-07-18,4.572,27.034
"199","ENN",2019-07-18,6.096,23.1979166666667
"200","ENN",2019-07-18,8.5344,22.306
"201","ENN",2019-07-30,0,28.7447619047619
"202","ENN",2019-07-30,1.524,28.451
"203","ENN",2019-07-30,3.048,28.2566666666667
"204","ENN",2019-07-30,6.096,25.0225
"205","ENN",2019-07-30,7.9248,22.8491304347826
"206","ENN",2019-08-13,0,27.8075
"207","ENN",2019-08-13,1.524,27.8095
"208","ENN",2019-08-13,3.048,27.7952380952381
"209","ENN",2019-08-13,6.096,25.804
"210","ENN",2019-08-13,7.62,23.243
"211","ENN",2019-09-05,0,26.4565217391304
"212","ENN",2019-09-05,1.524,25.982
"213","ENN",2019-09-05,3.048,25.4321052631579
"214","ENN",2019-09-05,4.572,25.255
"215","ENN",2019-09-05,6.096,24.9078947368421
"216","ENN",2019-09-05,8.2296,23.699
"217","ENN",2019-09-24,0,25.8585714285714
"218","ENN",2019-09-24,1.524,25.5275
"219","ENN",2019-09-24,3.048,25.4075
"220","ENN",2019-09-24,4.572,25.4
"221","ENN",2019-09-24,6.096,25.2195833333333
"222","ENN",2019-09-24,7.3152,24.8316666666667
