"","sampledate","TotP_kgday"
"146",2014-08-19,32.6904510586243
"147",2014-08-20,28.652063871419
"148",2014-08-21,25.9723811330692
"149",2014-08-22,28.5724034467233
"150",2014-08-23,26.4870422798438
"151",2014-08-24,23.7086647769909
"152",2014-08-25,60.7652949055209
"153",2014-08-26,47.6039541607319
"154",2014-08-27,34.1871422382181
"155",2014-08-28,30.9094533890986
"156",2014-08-29,24.7208610578598
"157",2014-08-30,41.5823991708835
"158",2014-08-31,34.8735772921758
"159",2014-09-01,31.2708269360918
"160",2014-09-02,28.8102348313875
"161",2014-09-03,16.2196062263024
"162",2014-09-04,227.313321647926
"163",2014-09-05,121.373519809031
"164",2014-09-06,63.35058884827
"165",2014-09-07,45.8273994682101
"166",2014-09-08,32.6770193715365
"167",2014-09-09,27.2363298003381
"168",2014-09-10,29.77303479854
"169",2014-09-11,21.5422241729365
"170",2014-09-12,20.5309575898988
"171",2015-07-14,57.8572000894812
"172",2015-07-15,33.6254090223052
"173",2015-07-16,34.8339183399548
"174",2015-07-17,50.441734461853
"175",2015-07-18,104.526930258504
"176",2015-07-19,92.0311552979354
"177",2015-07-20,52.6573756537646
"178",2015-07-21,43.3653394195618
