"","sampledate","Thermo_depth_m","Thermo_depth_m_k1","vol_chg_m3"
"1953",2017-06-27,10.3711869520516,0.0374199464484217,1489463.54843298
"1954",2017-06-28,10.4086068985001,0.0374199464484235,1489463.54843305
"1955",2017-06-29,10.4460268449485,0.0374199464484217,1489463.54843298
"1956",2017-06-30,10.4834467913969,0.0374199464484217,1489463.54843298
"1957",2017-07-01,10.5208667378453,0.0374199464484217,1489463.54843298
"1958",2017-07-02,10.5582866842938,0.0374199464484235,1489463.54843305
"1959",2017-07-03,10.5957066307422,0.0374199464484217,1489463.54843298
"1960",2017-07-04,10.6331265771906,0.0374199464484217,1489463.54843298
"1961",2017-07-05,10.670546523639,0.0374199464484235,1489463.54843305
"1962",2017-07-06,10.7079664700874,0.0374199464484217,1489463.54843298
"1963",2017-07-07,10.7453864165359,0.0374199464484217,1489463.54843298
"1964",2017-07-08,10.7828063629843,0.0374199464484217,1489463.54843298
"1965",2017-07-09,10.8202263094327,0.0374199464484235,1489463.54843305
"1966",2017-07-10,10.8576462558811,0.0374199464484217,1489463.54843298
"1967",2017-07-11,11.2005893911367,0.342943135255547,13650508.5557118
"1968",2017-07-12,11.5435325263922,0.342943135255547,13650508.5557118
"1969",2017-07-13,11.8864756616478,0.342943135255545,13650508.5557117
"1970",2017-07-14,12.2294187969033,0.342943135255547,13650508.5557118
"1971",2017-07-15,12.5723619321589,0.342943135255547,13650508.5557118
"1972",2017-07-16,12.9153050674144,0.342943135255547,13650508.5557118
"1973",2017-07-17,13.25824820267,0.342943135255545,13650508.5557117
"1974",2017-07-18,13.6011913379255,0.342943135255547,13650508.5557118
"1975",2017-07-19,13.9441344731811,0.342943135255547,13650508.5557118
"1976",2017-07-20,14.2870776084366,0.342943135255547,13650508.5557118
"1977",2017-07-21,14.6300207436921,0.342943135255547,13650508.5557118
"1978",2017-07-22,14.9729638789477,0.342943135255545,13650508.5557117
"1979",2017-07-23,15.3159070142032,0.342943135255549,13650508.5557119
"1980",2017-07-24,15.6588501494588,0.342943135255545,13650508.5557117
"1981",2017-07-25,15.4956686419524,-0.163181507506396,-6495276.72478458
"1982",2017-07-26,15.332487134446,-0.163181507506396,-6495276.72478458
"1983",2017-07-27,15.1693056269396,-0.163181507506396,-6495276.72478458
"1984",2017-07-28,15.0061241194332,-0.163181507506396,-6495276.72478458
"1985",2017-07-29,14.8429426119268,-0.163181507506396,-6495276.72478458
"1986",2017-07-30,14.6797611044204,-0.163181507506396,-6495276.72478458
"1987",2017-07-31,14.516579596914,-0.163181507506398,-6495276.72478465
"1988",2017-08-01,14.3533980894076,-0.163181507506394,-6495276.72478451
"1989",2017-08-02,14.1902165819012,-0.163181507506398,-6495276.72478465
"1990",2017-08-03,14.0270350743948,-0.163181507506396,-6495276.72478458
"1991",2017-08-04,13.8638535668884,-0.163181507506396,-6495276.72478458
"1992",2017-08-05,13.700672059382,-0.163181507506396,-6495276.72478458
"1993",2017-08-06,13.5374905518756,-0.163181507506396,-6495276.72478458
"1994",2017-08-07,13.3743090443692,-0.163181507506396,-6495276.72478458
"1995",2017-08-08,13.2718878433977,-0.102421200971595,-4076773.48347335
"1996",2017-08-09,13.1694666424261,-0.102421200971595,-4076773.48347335
"1997",2017-08-10,13.0670454414545,-0.102421200971596,-4076773.48347342
"1998",2017-08-11,12.9646242404829,-0.102421200971595,-4076773.48347335
"1999",2017-08-12,12.8622030395113,-0.102421200971595,-4076773.48347335
"2000",2017-08-13,12.7597818385397,-0.102421200971595,-4076773.48347335
"2001",2017-08-14,12.6573606375681,-0.102421200971595,-4076773.48347335
