"","sampledate","Project.x","Date_Time","TotP_mgL","sampletime.x","Site_ID.x","Project.y","Date.Time","SRP_mgL","Site_ID.y","sampletime.y"
"402",2010-07-24,"","7/24/2010 23:30",0.294,"11:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"403",2010-08-01,"","8/1/2010 11:00",0.216,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"404",2010-08-11,"","8/11/2010 10:00",0.141,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"405",2010-09-04,"","9/4/2010 3:15",0.097,"3:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"406",2010-09-15,"","9/15/2010 9:55",0.081,"9:55:00","WIDNR_133040","","9/15/2010 9:55",1e-04,"WIDNR_133040","9:55:00"
"407",2010-10-01,"","10/1/2010 11:00",0.083,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"408",2010-10-12,"","10/12/2010 11:00",0.077,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"409",2011-01-31,"","1/31/2011 10:35",0.053,"10:35:00","WIDNR_133040","","1/31/2011 10:35",0.028,"WIDNR_133040","10:35:00"
"410",2011-02-18,"","2/18/2011 19:00",0.259,"7:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"411",2011-02-19,"","2/19/2011 20:30",0.673,"8:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"412",2011-03-04,"","3/4/2011 20:45",0.122,"8:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"413",2011-03-18,"Mendota Yahara Tributary Study 2010-11","3/18/2011 5:45",0.135,"5:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"414",2011-03-20,"Mendota Yahara Tributary Study 2010-11","3/20/2011 19:30",0.144,"7:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"415",2011-03-21,"","3/21/2011 8:00",0.354,"8:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"416",2011-03-22,"Mendota Yahara Tributary Study 2010-11","3/22/2011 13:15",0.312,"1:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"417",2011-03-23,"Mendota Yahara Tributary Study 2010-11","3/23/2011 17:30",0.209,"5:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"418",2011-04-03,"Mendota Yahara Tributary Study 2010-11","4/3/2011 11:00",0.096,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"419",2011-04-04,"Mendota Yahara Tributary Study 2010-11","4/4/2011 21:00",0.084,"9:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","4/4/2011 21:00",0.005,"WIDNR_133040","9:00:00"
"420",2011-04-07,"Mendota Yahara Tributary Study 2010-11","4/7/2011 0:30",0.183,"12:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"421",2011-04-11,"Mendota Yahara Tributary Study 2010-11","4/11/2011 17:15",0.109,"5:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"422",2011-04-20,"Mendota Yahara Tributary Study 2010-11","4/20/2011 12:15",0.083,"12:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","4/20/2011 12:15",1e-04,"WIDNR_133040","12:15:00"
"423",2011-04-23,"Mendota Yahara Tributary Study 2010-11","4/23/2011 6:45",0.091,"6:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"424",2011-04-26,"Mendota Yahara Tributary Study 2010-11","4/26/2011 22:15",0.106,"10:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","4/26/2011 22:15",1e-04,"WIDNR_133040","10:15:00"
"425",2011-04-28,"Mendota Yahara Tributary Study 2010-11","4/28/2011 5:30",0.1,"5:30:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","4/28/2011 5:30",1e-04,"WIDNR_133040","5:30:00"
"426",2011-05-02,"Mendota Yahara Tributary Study 2010-11","5/2/2011 16:00",0.165,"4:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","5/2/2011 16:00",1e-04,"WIDNR_133040","4:00:00"
"427",2011-05-12,"Mendota Yahara Tributary Study 2010-11","5/12/2011 8:00",0.147,"8:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"428",2011-05-23,"Mendota Yahara Tributary Study 2010-11","5/23/2011 0:45",0.103,"12:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"429",2011-05-31,"Mendota Yahara Tributary Study 2010-11","5/31/2011 18:45",0.12,"6:45:00","WIDNR_133040",NA,NA,NA,NA,NA
