Date,Ctime,Rtime,id,depth_ft,Value,Analyte,Unit,Lab_ID,Data_source
6/10/1981,11:00:00,11:00:00,EOF,70,2.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,EUS,0,13,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,EUS,10,3.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,EUS,20,2.3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,EUS,30,3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,13:00:00,13:00:00,CUS,0,12,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,13:00:00,13:00:00,CUS,2,16.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,13:00:00,13:00:00,CUS,5,18.3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,13:00:00,13:00:00,CUS,10,15.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,12:00:00,12:00:00,EOF,0,12.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,12:00:00,12:00:00,EOF,5,12.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,12:00:00,12:00:00,EOF,10,10.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,12:00:00,12:00:00,EOF,20,2.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,14:00:00,14:00:00,EUS,0,12.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,14:00:00,14:00:00,EUS,2,9.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,14:00:00,14:00:00,EUS,5,12.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/21/1981,14:00:00,14:00:00,EUS,10,13.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,11:00:00,11:00:00,CUS,0,12.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,11:00:00,11:00:00,CUS,5,15.3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,11:00:00,11:00:00,CUS,10,12.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,11:00:00,11:00:00,CUS,20,7.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,10:00:00,10:00:00,EOF,0,10.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
